step,additional_coverage,candidate_tests
27,0,T0024;T0025;T0026;T0027;T0028;T0029;T0030;T0031;T0032;T0033;T0034;T0035;T0036;T0037;T0038;T0039;T0040;T0041;T0042;T0043;T0044;T0045;T0046;T0047;T0048;T0049;T0050;T0051;T0052;T0053;T0054;T0055;T0056;T0057;T0058;T0059;T0060;T0061;T0062;T0063;T0064;T0065;T0066;T0067;T0068;T0069;T0070;T0071;T0073;T0074;T0075;T0076;T0077;T0078;T0079;T0080;T0081;T0082;T0083;T0084;T0085;T0087;T0088;T0089;T0090;T0091;T0092;T0093;T0094;T0095;T0096;T0097;T0098;T0099;T0100;T0101;T0102;T0103;T0104;T0105;T0106;T0107;T0108;T0109;T0110;T0111;T0112;T0113;T0114;T0115;T0116;T0117;T0118;T0119;T0120;T0121;T0122;T0123;T0124;T0125;T0126;T0127;T0128;T0129;T0130;T0131;T0133;T0134;T0135;T0136;T0137;T0138;T0139;T0140;T0141;T0142;T0143;T0144;T0145;T0146;T0147;T0148;T0149;T0150;T0151;T0152;T0153;T0154;T0155;T0156;T0157;T0158;T0159;T0160
28,0,T0025;T0026;T0027;T0028;T0029;T0030;T0031;T0032;T0033;T0034;T0035;T0036;T0037;T0038;T0039;T0040;T0041;T0042;T0043;T0044;T0045;T0046;T0047;T0048;T0049;T0050;T0051;T0052;T0053;T0054;T0055;T0056;T0057;T0058;T0059;T0060;T0061;T0062;T0063;T0064;T0065;T0066;T0067;T0068;T0069;T0070;T0071;T0073;T0074;T0075;T0076;T0077;T0078;T0079;T0080;T0081;T0082;T0083;T0084;T0085;T0087;T0088;T0089;T0090;T0091;T0092;T0093;T0094;T0095;T0096;T0097;T0098;T0099;T0100;T0101;T0102;T0103;T0104;T0105;T0106;T0107;T0108;T0109;T0110;T0111;T0112;T0113;T0114;T0115;T0116;T0117;T0118;T0119;T0120;T0121;T0122;T0123;T0124;T0125;T0126;T0127;T0128;T0129;T0130;T0131;T0133;T0134;T0135;T0136;T0137;T0138;T0139;T0140;T0141;T0142;T0143;T0144;T0145;T0146;T0147;T0148;T0149;T0150;T0151;T0152;T0153;T0154;T0155;T0156;T0157;T0158;T0159;T0160
29,0,T0026;T0027;T0028;T0029;T0030;T0031;T0032;T0033;T0034;T0035;T0036;T0037;T0038;T0039;T0040;T0041;T0042;T0043;T0044;T0045;T0046;T0047;T0048;T0049;T0050;T0051;T0052;T0053;T0054;T0055;T0056;T0057;T0058;T0059;T0060;T0061;T0062;T0063;T0064;T0065;T0066;T0067;T0068;T0069;T0070;T0071;T0073;T0074;T0075;T0076;T0077;T0078;T0079;T0080;T0081;T0082;T0083;T0084;T0085;T0087;T0088;T0089;T0090;T0091;T0092;T0093;T0094;T0095;T0096;T0097;T0098;T0099;T0100;T0101;T0102;T0103;T0104;T0105;T0106;T0107;T0108;T0109;T0110;T0111;T0112;T0113;T0114;T0115;T0116;T0117;T0118;T0119;T0120;T0121;T0122;T0123;T0124;T0125;T0126;T0127;T0128;T0129;T0130;T0131;T0133;T0134;T0135;T0136;T0137;T0138;T0139;T0140;T0141;T0142;T0143;T0144;T0145;T0146;T0147;T0148;T0149;T0150;T0151;T0152;T0153;T0154;T0155;T0156;T0157;T0158;T0159;T0160
30,0,T0027;T0028;T0029;T0030;T0031;T0032;T0033;T0034;T0035;T0036;T0037;T0038;T0039;T0040;T0041;T0042;T0043;T0044;T0045;T0046;T0047;T0048;T0049;T0050;T0051;T0052;T0053;T0054;T0055;T0056;T0057;T0058;T0059;T0060;T0061;T0062;T0063;T0064;T0065;T0066;T0067;T0068;T0069;T0070;T0071;T0073;T0074;T0075;T0076;T0077;T0078;T0079;T0080;T0081;T0082;T0083;T0084;T0085;T0087;T0088;T0089;T0090;T0091;T0092;T0093;T0094;T0095;T0096;T0097;T0098;T0099;T0100;T0101;T0102;T0103;T0104;T0105;T0106;T0107;T0108;T0109;T0110;T0111;T0112;T0113;T0114;T0115;T0116;T0117;T0118;T0119;T0120;T0121;T0122;T0123;T0124;T0125;T0126;T0127;T0128;T0129;T0130;T0131;T0133;T0134;T0135;T0136;T0137;T0138;T0139;T0140;T0141;T0142;T0143;T0144;T0145;T0146;T0147;T0148;T0149;T0150;T0151;T0152;T0153;T0154;T0155;T0156;T0157;T0158;T0159;T0160
31,0,T0028;T0029;T0030;T0031;T0032;T0033;T0034;T0035;T0036;T0037;T0038;T0039;T0040;T0041;T0042;T0043;T0044;T0045;T0046;T0047;T0048;T0049;T0050;T0051;T0052;T0053;T0054;T0055;T0056;T0057;T0058;T0059;T0060;T0061;T0062;T0063;T0064;T0065;T0066;T0067;T0068;T0069;T0070;T0071;T0073;T0074;T0075;T0076;T0077;T0078;T0079;T0080;T0081;T0082;T0083;T0084;T0085;T0087;T0088;T0089;T0090;T0091;T0092;T0093;T0094;T0095;T0096;T0097;T0098;T0099;T0100;T0101;T0102;T0103;T0104;T0105;T0106;T0107;T0108;T0109;T0110;T0111;T0112;T0113;T0114;T0115;T0116;T0117;T0118;T0119;T0120;T0121;T0122;T0123;T0124;T0125;T0126;T0127;T0128;T0129;T0130;T0131;T0133;T0134;T0135;T0136;T0137;T0138;T0139;T0140;T0141;T0142;T0143;T0144;T0145;T0146;T0147;T0148;T0149;T0150;T0151;T0152;T0153;T0154;T0155;T0156;T0157;T0158;T0159;T0160
32,0,T0029;T0030;T0031;T0032;T0033;T0034;T0035;T0036;T0037;T0038;T0039;T0040;T0041;T0042;T0043;T0044;T0045;T0046;T0047;T0048;T0049;T0050;T0051;T0052;T0053;T0054;T0055;T0056;T0057;T0058;T0059;T0060;T0061;T0062;T0063;T0064;T0065;T0066;T0067;T0068;T0069;T0070;T0071;T0073;T0074;T0075;T0076;T0077;T0078;T0079;T0080;T0081;T0082;T0083;T0084;T0085;T0087;T0088;T0089;T0090;T0091;T0092;T0093;T0094;T0095;T0096;T0097;T0098;T0099;T0100;T0101;T0102;T0103;T0104;T0105;T0106;T0107;T0108;T0109;T0110;T0111;T0112;T0113;T0114;T0115;T0116;T0117;T0118;T0119;T0120;T0121;T0122;T0123;T0124;T0125;T0126;T0127;T0128;T0129;T0130;T0131;T0133;T0134;T0135;T0136;T0137;T0138;T0139;T0140;T0141;T0142;T0143;T0144;T0145;T0146;T0147;T0148;T0149;T0150;T0151;T0152;T0153;T0154;T0155;T0156;T0157;T0158;T0159;T0160
33,0,T0030;T0031;T0032;T0033;T0034;T0035;T0036;T0037;T0038;T0039;T0040;T0041;T0042;T0043;T0044;T0045;T0046;T0047;T0048;T0049;T0050;T0051;T0052;T0053;T0054;T0055;T0056;T0057;T0058;T0059;T0060;T0061;T0062;T0063;T0064;T0065;T0066;T0067;T0068;T0069;T0070;T0071;T0073;T0074;T0075;T0076;T0077;T0078;T0079;T0080;T0081;T0082;T0083;T0084;T0085;T0087;T0088;T0089;T0090;T0091;T0092;T0093;T0094;T0095;T0096;T0097;T0098;T0099;T0100;T0101;T0102;T0103;T0104;T0105;T0106;T0107;T0108;T0109;T0110;T0111;T0112;T0113;T0114;T0115;T0116;T0117;T0118;T0119;T0120;T0121;T0122;T0123;T0124;T0125;T0126;T0127;T0128;T0129;T0130;T0131;T0133;T0134;T0135;T0136;T0137;T0138;T0139;T0140;T0141;T0142;T0143;T0144;T0145;T0146;T0147;T0148;T0149;T0150;T0151;T0152;T0153;T0154;T0155;T0156;T0157;T0158;T0159;T0160
34,0,T0031;T0032;T0033;T0034;T0035;T0036;T0037;T0038;T0039;T0040;T0041;T0042;T0043;T0044;T0045;T0046;T0047;T0048;T0049;T0050;T0051;T0052;T0053;T0054;T0055;T0056;T0057;T0058;T0059;T0060;T0061;T0062;T0063;T0064;T0065;T0066;T0067;T0068;T0069;T0070;T0071;T0073;T0074;T0075;T0076;T0077;T0078;T0079;T0080;T0081;T0082;T0083;T0084;T0085;T0087;T0088;T0089;T0090;T0091;T0092;T0093;T0094;T0095;T0096;T0097;T0098;T0099;T0100;T0101;T0102;T0103;T0104;T0105;T0106;T0107;T0108;T0109;T0110;T0111;T0112;T0113;T0114;T0115;T0116;T0117;T0118;T0119;T0120;T0121;T0122;T0123;T0124;T0125;T0126;T0127;T0128;T0129;T0130;T0131;T0133;T0134;T0135;T0136;T0137;T0138;T0139;T0140;T0141;T0142;T0143;T0144;T0145;T0146;T0147;T0148;T0149;T0150;T0151;T0152;T0153;T0154;T0155;T0156;T0157;T0158;T0159;T0160
35,0,T0032;T0033;T0034;T0035;T0036;T0037;T0038;T0039;T0040;T0041;T0042;T0043;T0044;T0045;T0046;T0047;T0048;T0049;T0050;T0051;T0052;T0053;T0054;T0055;T0056;T0057;T0058;T0059;T0060;T0061;T0062;T0063;T0064;T0065;T0066;T0067;T0068;T0069;T0070;T0071;T0073;T0074;T0075;T0076;T0077;T0078;T0079;T0080;T0081;T0082;T0083;T0084;T0085;T0087;T0088;T0089;T0090;T0091;T0092;T0093;T0094;T0095;T0096;T0097;T0098;T0099;T0100;T0101;T0102;T0103;T0104;T0105;T0106;T0107;T0108;T0109;T0110;T0111;T0112;T0113;T0114;T0115;T0116;T0117;T0118;T0119;T0120;T0121;T0122;T0123;T0124;T0125;T0126;T0127;T0128;T0129;T0130;T0131;T0133;T0134;T0135;T0136;T0137;T0138;T0139;T0140;T0141;T0142;T0143;T0144;T0145;T0146;T0147;T0148;T0149;T0150;T0151;T0152;T0153;T0154;T0155;T0156;T0157;T0158;T0159;T0160
36,0,T0033;T0034;T0035;T0036;T0037;T0038;T0039;T0040;T0041;T0042;T0043;T0044;T0045;T0046;T0047;T0048;T0049;T0050;T0051;T0052;T0053;T0054;T0055;T0056;T0057;T0058;T0059;T0060;T0061;T0062;T0063;T0064;T0065;T0066;T0067;T0068;T0069;T0070;T0071;T0073;T0074;T0075;T0076;T0077;T0078;T0079;T0080;T0081;T0082;T0083;T0084;T0085;T0087;T0088;T0089;T0090;T0091;T0092;T0093;T0094;T0095;T0096;T0097;T0098;T0099;T0100;T0101;T0102;T0103;T0104;T0105;T0106;T0107;T0108;T0109;T0110;T0111;T0112;T0113;T0114;T0115;T0116;T0117;T0118;T0119;T0120;T0121;T0122;T0123;T0124;T0125;T0126;T0127;T0128;T0129;T0130;T0131;T0133;T0134;T0135;T0136;T0137;T0138;T0139;T0140;T0141;T0142;T0143;T0144;T0145;T0146;T0147;T0148;T0149;T0150;T0151;T0152;T0153;T0154;T0155;T0156;T0157;T0158;T0159;T0160
37,0,T0034;T0035;T0036;T0037;T0038;T0039;T0040;T0041;T0042;T0043;T0044;T0045;T0046;T0047;T0048;T0049;T0050;T0051;T0052;T0053;T0054;T0055;T0056;T0057;T0058;T0059;T0060;T0061;T0062;T0063;T0064;T0065;T0066;T0067;T0068;T0069;T0070;T0071;T0073;T0074;T0075;T0076;T0077;T0078;T0079;T0080;T0081;T0082;T0083;T0084;T0085;T0087;T0088;T0089;T0090;T0091;T0092;T0093;T0094;T0095;T0096;T0097;T0098;T0099;T0100;T0101;T0102;T0103;T0104;T0105;T0106;T0107;T0108;T0109;T0110;T0111;T0112;T0113;T0114;T0115;T0116;T0117;T0118;T0119;T0120;T0121;T0122;T0123;T0124;T0125;T0126;T0127;T0128;T0129;T0130;T0131;T0133;T0134;T0135;T0136;T0137;T0138;T0139;T0140;T0141;T0142;T0143;T0144;T0145;T0146;T0147;T0148;T0149;T0150;T0151;T0152;T0153;T0154;T0155;T0156;T0157;T0158;T0159;T0160
38,0,T0035;T0036;T0037;T0038;T0039;T0040;T0041;T0042;T0043;T0044;T0045;T0046;T0047;T0048;T0049;T0050;T0051;T0052;T0053;T0054;T0055;T0056;T0057;T0058;T0059;T0060;T0061;T0062;T0063;T0064;T0065;T0066;T0067;T0068;T0069;T0070;T0071;T0073;T0074;T0075;T0076;T0077;T0078;T0079;T0080;T0081;T0082;T0083;T0084;T0085;T0087;T0088;T0089;T0090;T0091;T0092;T0093;T0094;T0095;T0096;T0097;T0098;T0099;T0100;T0101;T0102;T0103;T0104;T0105;T0106;T0107;T0108;T0109;T0110;T0111;T0112;T0113;T0114;T0115;T0116;T0117;T0118;T0119;T0120;T0121;T0122;T0123;T0124;T0125;T0126;T0127;T0128;T0129;T0130;T0131;T0133;T0134;T0135;T0136;T0137;T0138;T0139;T0140;T0141;T0142;T0143;T0144;T0145;T0146;T0147;T0148;T0149;T0150;T0151;T0152;T0153;T0154;T0155;T0156;T0157;T0158;T0159;T0160
39,0,T0036;T0037;T0038;T0039;T0040;T0041;T0042;T0043;T0044;T0045;T0046;T0047;T0048;T0049;T0050;T0051;T0052;T0053;T0054;T0055;T0056;T0057;T0058;T0059;T0060;T0061;T0062;T0063;T0064;T0065;T0066;T0067;T0068;T0069;T0070;T0071;T0073;T0074;T0075;T0076;T0077;T0078;T0079;T0080;T0081;T0082;T0083;T0084;T0085;T0087;T0088;T0089;T0090;T0091;T0092;T0093;T0094;T0095;T0096;T0097;T0098;T0099;T0100;T0101;T0102;T0103;T0104;T0105;T0106;T0107;T0108;T0109;T0110;T0111;T0112;T0113;T0114;T0115;T0116;T0117;T0118;T0119;T0120;T0121;T0122;T0123;T0124;T0125;T0126;T0127;T0128;T0129;T0130;T0131;T0133;T0134;T0135;T0136;T0137;T0138;T0139;T0140;T0141;T0142;T0143;T0144;T0145;T0146;T0147;T0148;T0149;T0150;T0151;T0152;T0153;T0154;T0155;T0156;T0157;T0158;T0159;T0160
40,0,T0037;T0038;T0039;T0040;T0041;T0042;T0043;T0044;T0045;T0046;T0047;T0048;T0049;T0050;T0051;T0052;T0053;T0054;T0055;T0056;T0057;T0058;T0059;T0060;T0061;T0062;T0063;T0064;T0065;T0066;T0067;T0068;T0069;T0070;T0071;T0073;T0074;T0075;T0076;T0077;T0078;T0079;T0080;T0081;T0082;T0083;T0084;T0085;T0087;T0088;T0089;T0090;T0091;T0092;T0093;T0094;T0095;T0096;T0097;T0098;T0099;T0100;T0101;T0102;T0103;T0104;T0105;T0106;T0107;T0108;T0109;T0110;T0111;T0112;T0113;T0114;T0115;T0116;T0117;T0118;T0119;T0120;T0121;T0122;T0123;T0124;T0125;T0126;T0127;T0128;T0129;T0130;T0131;T0133;T0134;T0135;T0136;T0137;T0138;T0139;T0140;T0141;T0142;T0143;T0144;T0145;T0146;T0147;T0148;T0149;T0150;T0151;T0152;T0153;T0154;T0155;T0156;T0157;T0158;T0159;T0160
41,0,T0038;T0039;T0040;T0041;T0042;T0043;T0044;T0045;T0046;T0047;T0048;T0049;T0050;T0051;T0052;T0053;T0054;T0055;T0056;T0057;T0058;T0059;T0060;T0061;T0062;T0063;T0064;T0065;T0066;T0067;T0068;T0069;T0070;T0071;T0073;T0074;T0075;T0076;T0077;T0078;T0079;T0080;T0081;T0082;T0083;T0084;T0085;T0087;T0088;T0089;T0090;T0091;T0092;T0093;T0094;T0095;T0096;T0097;T0098;T0099;T0100;T0101;T0102;T0103;T0104;T0105;T0106;T0107;T0108;T0109;T0110;T0111;T0112;T0113;T0114;T0115;T0116;T0117;T0118;T0119;T0120;T0121;T0122;T0123;T0124;T0125;T0126;T0127;T0128;T0129;T0130;T0131;T0133;T0134;T0135;T0136;T0137;T0138;T0139;T0140;T0141;T0142;T0143;T0144;T0145;T0146;T0147;T0148;T0149;T0150;T0151;T0152;T0153;T0154;T0155;T0156;T0157;T0158;T0159;T0160
42,0,T0039;T0040;T0041;T0042;T0043;T0044;T0045;T0046;T0047;T0048;T0049;T0050;T0051;T0052;T0053;T0054;T0055;T0056;T0057;T0058;T0059;T0060;T0061;T0062;T0063;T0064;T0065;T0066;T0067;T0068;T0069;T0070;T0071;T0073;T0074;T0075;T0076;T0077;T0078;T0079;T0080;T0081;T0082;T0083;T0084;T0085;T0087;T0088;T0089;T0090;T0091;T0092;T0093;T0094;T0095;T0096;T0097;T0098;T0099;T0100;T0101;T0102;T0103;T0104;T0105;T0106;T0107;T0108;T0109;T0110;T0111;T0112;T0113;T0114;T0115;T0116;T0117;T0118;T0119;T0120;T0121;T0122;T0123;T0124;T0125;T0126;T0127;T0128;T0129;T0130;T0131;T0133;T0134;T0135;T0136;T0137;T0138;T0139;T0140;T0141;T0142;T0143;T0144;T0145;T0146;T0147;T0148;T0149;T0150;T0151;T0152;T0153;T0154;T0155;T0156;T0157;T0158;T0159;T0160
43,0,T0040;T0041;T0042;T0043;T0044;T0045;T0046;T0047;T0048;T0049;T0050;T0051;T0052;T0053;T0054;T0055;T0056;T0057;T0058;T0059;T0060;T0061;T0062;T0063;T0064;T0065;T0066;T0067;T0068;T0069;T0070;T0071;T0073;T0074;T0075;T0076;T0077;T0078;T0079;T0080;T0081;T0082;T0083;T0084;T0085;T0087;T0088;T0089;T0090;T0091;T0092;T0093;T0094;T0095;T0096;T0097;T0098;T0099;T0100;T0101;T0102;T0103;T0104;T0105;T0106;T0107;T0108;T0109;T0110;T0111;T0112;T0113;T0114;T0115;T0116;T0117;T0118;T0119;T0120;T0121;T0122;T0123;T0124;T0125;T0126;T0127;T0128;T0129;T0130;T0131;T0133;T0134;T0135;T0136;T0137;T0138;T0139;T0140;T0141;T0142;T0143;T0144;T0145;T0146;T0147;T0148;T0149;T0150;T0151;T0152;T0153;T0154;T0155;T0156;T0157;T0158;T0159;T0160
44,0,T0041;T0042;T0043;T0044;T0045;T0046;T0047;T0048;T0049;T0050;T0051;T0052;T0053;T0054;T0055;T0056;T0057;T0058;T0059;T0060;T0061;T0062;T0063;T0064;T0065;T0066;T0067;T0068;T0069;T0070;T0071;T0073;T0074;T0075;T0076;T0077;T0078;T0079;T0080;T0081;T0082;T0083;T0084;T0085;T0087;T0088;T0089;T0090;T0091;T0092;T0093;T0094;T0095;T0096;T0097;T0098;T0099;T0100;T0101;T0102;T0103;T0104;T0105;T0106;T0107;T0108;T0109;T0110;T0111;T0112;T0113;T0114;T0115;T0116;T0117;T0118;T0119;T0120;T0121;T0122;T0123;T0124;T0125;T0126;T0127;T0128;T0129;T0130;T0131;T0133;T0134;T0135;T0136;T0137;T0138;T0139;T0140;T0141;T0142;T0143;T0144;T0145;T0146;T0147;T0148;T0149;T0150;T0151;T0152;T0153;T0154;T0155;T0156;T0157;T0158;T0159;T0160
45,0,T0042;T0043;T0044;T0045;T0046;T0047;T0048;T0049;T0050;T0051;T0052;T0053;T0054;T0055;T0056;T0057;T0058;T0059;T0060;T0061;T0062;T0063;T0064;T0065;T0066;T0067;T0068;T0069;T0070;T0071;T0073;T0074;T0075;T0076;T0077;T0078;T0079;T0080;T0081;T0082;T0083;T0084;T0085;T0087;T0088;T0089;T0090;T0091;T0092;T0093;T0094;T0095;T0096;T0097;T0098;T0099;T0100;T0101;T0102;T0103;T0104;T0105;T0106;T0107;T0108;T0109;T0110;T0111;T0112;T0113;T0114;T0115;T0116;T0117;T0118;T0119;T0120;T0121;T0122;T0123;T0124;T0125;T0126;T0127;T0128;T0129;T0130;T0131;T0133;T0134;T0135;T0136;T0137;T0138;T0139;T0140;T0141;T0142;T0143;T0144;T0145;T0146;T0147;T0148;T0149;T0150;T0151;T0152;T0153;T0154;T0155;T0156;T0157;T0158;T0159;T0160
46,0,T0043;T0044;T0045;T0046;T0047;T0048;T0049;T0050;T0051;T0052;T0053;T0054;T0055;T0056;T0057;T0058;T0059;T0060;T0061;T0062;T0063;T0064;T0065;T0066;T0067;T0068;T0069;T0070;T0071;T0073;T0074;T0075;T0076;T0077;T0078;T0079;T0080;T0081;T0082;T0083;T0084;T0085;T0087;T0088;T0089;T0090;T0091;T0092;T0093;T0094;T0095;T0096;T0097;T0098;T0099;T0100;T0101;T0102;T0103;T0104;T0105;T0106;T0107;T0108;T0109;T0110;T0111;T0112;T0113;T0114;T0115;T0116;T0117;T0118;T0119;T0120;T0121;T0122;T0123;T0124;T0125;T0126;T0127;T0128;T0129;T0130;T0131;T0133;T0134;T0135;T0136;T0137;T0138;T0139;T0140;T0141;T0142;T0143;T0144;T0145;T0146;T0147;T0148;T0149;T0150;T0151;T0152;T0153;T0154;T0155;T0156;T0157;T0158;T0159;T0160
47,0,T0044;T0045;T0046;T0047;T0048;T0049;T0050;T0051;T0052;T0053;T0054;T0055;T0056;T0057;T0058;T0059;T0060;T0061;T0062;T0063;T0064;T0065;T0066;T0067;T0068;T0069;T0070;T0071;T0073;T0074;T0075;T0076;T0077;T0078;T0079;T0080;T0081;T0082;T0083;T0084;T0085;T0087;T0088;T0089;T0090;T0091;T0092;T0093;T0094;T0095;T0096;T0097;T0098;T0099;T0100;T0101;T0102;T0103;T0104;T0105;T0106;T0107;T0108;T0109;T0110;T0111;T0112;T0113;T0114;T0115;T0116;T0117;T0118;T0119;T0120;T0121;T0122;T0123;T0124;T0125;T0126;T0127;T0128;T0129;T0130;T0131;T0133;T0134;T0135;T0136;T0137;T0138;T0139;T0140;T0141;T0142;T0143;T0144;T0145;T0146;T0147;T0148;T0149;T0150;T0151;T0152;T0153;T0154;T0155;T0156;T0157;T0158;T0159;T0160
48,0,T0045;T0046;T0047;T0048;T0049;T0050;T0051;T0052;T0053;T0054;T0055;T0056;T0057;T0058;T0059;T0060;T0061;T0062;T0063;T0064;T0065;T0066;T0067;T0068;T0069;T0070;T0071;T0073;T0074;T0075;T0076;T0077;T0078;T0079;T0080;T0081;T0082;T0083;T0084;T0085;T0087;T0088;T0089;T0090;T0091;T0092;T0093;T0094;T0095;T0096;T0097;T0098;T0099;T0100;T0101;T0102;T0103;T0104;T0105;T0106;T0107;T0108;T0109;T0110;T0111;T0112;T0113;T0114;T0115;T0116;T0117;T0118;T0119;T0120;T0121;T0122;T0123;T0124;T0125;T0126;T0127;T0128;T0129;T0130;T0131;T0133;T0134;T0135;T0136;T0137;T0138;T0139;T0140;T0141;T0142;T0143;T0144;T0145;T0146;T0147;T0148;T0149;T0150;T0151;T0152;T0153;T0154;T0155;T0156;T0157;T0158;T0159;T0160
49,0,T0046;T0047;T0048;T0049;T0050;T0051;T0052;T0053;T0054;T0055;T0056;T0057;T0058;T0059;T0060;T0061;T0062;T0063;T0064;T0065;T0066;T0067;T0068;T0069;T0070;T0071;T0073;T0074;T0075;T0076;T0077;T0078;T0079;T0080;T0081;T0082;T0083;T0084;T0085;T0087;T0088;T0089;T0090;T0091;T0092;T0093;T0094;T0095;T0096;T0097;T0098;T0099;T0100;T0101;T0102;T0103;T0104;T0105;T0106;T0107;T0108;T0109;T0110;T0111;T0112;T0113;T0114;T0115;T0116;T0117;T0118;T0119;T0120;T0121;T0122;T0123;T0124;T0125;T0126;T0127;T0128;T0129;T0130;T0131;T0133;T0134;T0135;T0136;T0137;T0138;T0139;T0140;T0141;T0142;T0143;T0144;T0145;T0146;T0147;T0148;T0149;T0150;T0151;T0152;T0153;T0154;T0155;T0156;T0157;T0158;T0159;T0160
50,0,T0047;T0048;T0049;T0050;T0051;T0052;T0053;T0054;T0055;T0056;T0057;T0058;T0059;T0060;T0061;T0062;T0063;T0064;T0065;T0066;T0067;T0068;T0069;T0070;T0071;T0073;T0074;T0075;T0076;T0077;T0078;T0079;T0080;T0081;T0082;T0083;T0084;T0085;T0087;T0088;T0089;T0090;T0091;T0092;T0093;T0094;T0095;T0096;T0097;T0098;T0099;T0100;T0101;T0102;T0103;T0104;T0105;T0106;T0107;T0108;T0109;T0110;T0111;T0112;T0113;T0114;T0115;T0116;T0117;T0118;T0119;T0120;T0121;T0122;T0123;T0124;T0125;T0126;T0127;T0128;T0129;T0130;T0131;T0133;T0134;T0135;T0136;T0137;T0138;T0139;T0140;T0141;T0142;T0143;T0144;T0145;T0146;T0147;T0148;T0149;T0150;T0151;T0152;T0153;T0154;T0155;T0156;T0157;T0158;T0159;T0160
51,0,T0048;T0049;T0050;T0051;T0052;T0053;T0054;T0055;T0056;T0057;T0058;T0059;T0060;T0061;T0062;T0063;T0064;T0065;T0066;T0067;T0068;T0069;T0070;T0071;T0073;T0074;T0075;T0076;T0077;T0078;T0079;T0080;T0081;T0082;T0083;T0084;T0085;T0087;T0088;T0089;T0090;T0091;T0092;T0093;T0094;T0095;T0096;T0097;T0098;T0099;T0100;T0101;T0102;T0103;T0104;T0105;T0106;T0107;T0108;T0109;T0110;T0111;T0112;T0113;T0114;T0115;T0116;T0117;T0118;T0119;T0120;T0121;T0122;T0123;T0124;T0125;T0126;T0127;T0128;T0129;T0130;T0131;T0133;T0134;T0135;T0136;T0137;T0138;T0139;T0140;T0141;T0142;T0143;T0144;T0145;T0146;T0147;T0148;T0149;T0150;T0151;T0152;T0153;T0154;T0155;T0156;T0157;T0158;T0159;T0160
52,0,T0049;T0050;T0051;T0052;T0053;T0054;T0055;T0056;T0057;T0058;T0059;T0060;T0061;T0062;T0063;T0064;T0065;T0066;T0067;T0068;T0069;T0070;T0071;T0073;T0074;T0075;T0076;T0077;T0078;T0079;T0080;T0081;T0082;T0083;T0084;T0085;T0087;T0088;T0089;T0090;T0091;T0092;T0093;T0094;T0095;T0096;T0097;T0098;T0099;T0100;T0101;T0102;T0103;T0104;T0105;T0106;T0107;T0108;T0109;T0110;T0111;T0112;T0113;T0114;T0115;T0116;T0117;T0118;T0119;T0120;T0121;T0122;T0123;T0124;T0125;T0126;T0127;T0128;T0129;T0130;T0131;T0133;T0134;T0135;T0136;T0137;T0138;T0139;T0140;T0141;T0142;T0143;T0144;T0145;T0146;T0147;T0148;T0149;T0150;T0151;T0152;T0153;T0154;T0155;T0156;T0157;T0158;T0159;T0160
53,0,T0050;T0051;T0052;T0053;T0054;T0055;T0056;T0057;T0058;T0059;T0060;T0061;T0062;T0063;T0064;T0065;T0066;T0067;T0068;T0069;T0070;T0071;T0073;T0074;T0075;T0076;T0077;T0078;T0079;T0080;T0081;T0082;T0083;T0084;T0085;T0087;T0088;T0089;T0090;T0091;T0092;T0093;T0094;T0095;T0096;T0097;T0098;T0099;T0100;T0101;T0102;T0103;T0104;T0105;T0106;T0107;T0108;T0109;T0110;T0111;T0112;T0113;T0114;T0115;T0116;T0117;T0118;T0119;T0120;T0121;T0122;T0123;T0124;T0125;T0126;T0127;T0128;T0129;T0130;T0131;T0133;T0134;T0135;T0136;T0137;T0138;T0139;T0140;T0141;T0142;T0143;T0144;T0145;T0146;T0147;T0148;T0149;T0150;T0151;T0152;T0153;T0154;T0155;T0156;T0157;T0158;T0159;T0160
54,0,T0051;T0052;T0053;T0054;T0055;T0056;T0057;T0058;T0059;T0060;T0061;T0062;T0063;T0064;T0065;T0066;T0067;T0068;T0069;T0070;T0071;T0073;T0074;T0075;T0076;T0077;T0078;T0079;T0080;T0081;T0082;T0083;T0084;T0085;T0087;T0088;T0089;T0090;T0091;T0092;T0093;T0094;T0095;T0096;T0097;T0098;T0099;T0100;T0101;T0102;T0103;T0104;T0105;T0106;T0107;T0108;T0109;T0110;T0111;T0112;T0113;T0114;T0115;T0116;T0117;T0118;T0119;T0120;T0121;T0122;T0123;T0124;T0125;T0126;T0127;T0128;T0129;T0130;T0131;T0133;T0134;T0135;T0136;T0137;T0138;T0139;T0140;T0141;T0142;T0143;T0144;T0145;T0146;T0147;T0148;T0149;T0150;T0151;T0152;T0153;T0154;T0155;T0156;T0157;T0158;T0159;T0160
